gr,recn,yearStart,yearEnd
TQ1469,4,2018,2022
TQ1588,4,2020,2021
TQ2680,2,2018,2018
TQ2679,11,2003,2017
TQ3299,3,2023,2023
TQ2177,2,2023,2023
TQ2991,34,2019,2023
TQ2990,1,2010,2010
TQ2979,1,2021,2021
TQ1584,6,2023,2023
TQ3096,1,2022,2022
TQ2786,6,2013,2019
TQ2787,3,2014,2018
TQ3399,2,2023,2023
TQ1593,3,2014,2021
TQ2779,1,2007,2007
TQ2493,1,2022,2022
TQ2492,1,2023,2023
TQ2077,3,2023,2023
TQ3287,1,2022,2022
TQ1592,1,2013,2013
TQ1488,3,2022,2022
TQ2686,1,2013,2013
TQ1668,3,2022,2022
TQ3094,1,2023,2023
TQ2888,1,2022,2022
TQ2590,2,2023,2023
TQ2586,1,2018,2018
TQ2490,2,2022,2022
TQ2785,2,2014,2017
TQ1470,1,2018,2018
TQ1688,1,2022,2022
TQ2880,2,2021,2021
TQ2886,2,2017,2018
TQ2879,1,2021,2021
TQ2289,1,2023,2023
TQ1683,1,2019,2019
TQ2989,1,2022,2022
TQ1769,1,2022,2022
TQ3682,1,2022,2022
