gr,recn,yearStart,yearEnd
TQ2991,31,2018,2023
TQ2879,1,2021,2021
TQ2679,10,2008,2021
TQ2880,3,2021,2021
TQ1688,3,2022,2022
TQ1173,1,2023,2023
TQ3386,1,2016,2016
TQ2886,3,2017,2018
TQ2589,1,2022,2022
TQ2785,4,2017,2018
TQ2686,1,2017,2017
TQ2786,4,2013,2018
TQ1469,3,2018,2022
TQ1689,1,2022,2022
TQ3593,2,2012,2022
TQ1668,1,2022,2022
TQ2587,1,2014,2014
TQ1584,5,2023,2023
TQ2779,1,2007,2007
TQ1488,3,2021,2022
TQ2896,1,2022,2022
TQ1588,2,2021,2022
TQ2392,1,2023,2023
TQ3281,1,2022,2022
TQ2789,1,2015,2015
TQ2990,1,2010,2010
TQ3087,1,2022,2022
TQ2989,1,2022,2022
TQ2979,1,2021,2021
TQ1072,1,2017,2017
TQ2680,1,2018,2018
TQ2787,1,2017,2017
TQ3299,1,2023,2023
