gr,recn,yearStart,yearEnd
TQ2786,4,2016,2019
TQ2991,17,2018,2023
TQ3682,1,2022,2022
TQ2787,2,2017,2018
TQ2886,1,2014,2014
TQ1470,1,2018,2018
TQ1592,1,2013,2013
TQ1593,1,2014,2014
TQ1588,2,2021,2021
TQ2990,1,2010,2010
TQ1689,1,2022,2022
TQ2077,2,2023,2023
TQ1583,1,2016,2016
TQ2686,2,2017,2023
TQ2679,5,2010,2017
TQ2983,1,2014,2014
TQ1584,1,2023,2023
TQ3281,1,2022,2022
TQ2779,1,2007,2007
TQ1274,1,2023,2023
TQ2879,1,2021,2021
TQ2785,1,2017,2017
TQ2979,1,2021,2021
TQ2880,1,2021,2021
