gr,recn,yearStart,yearEnd
TQ2177,1,2023,2023
TQ2686,1,2013,2013
TQ1594,1,2021,2021
TQ2786,1,2019,2019
TQ1584,1,2023,2023
TQ2886,1,2014,2014
TQ1683,1,2019,2019
TQ1488,1,2022,2022
TQ1587,2,2022,2022
TQ2588,1,2022,2022
TQ2791,1,2020,2020
TQ3386,2,2016,2016
TQ1688,1,2022,2022
TQ2679,1,2016,2016
TQ1593,1,2014,2014
TQ1769,1,2022,2022
TQ2488,1,2022,2022
TQ3281,1,2022,2022
TQ2694,1,2022,2022
TQ1583,4,2015,2019
TQ2780,1,2018,2018
TQ2991,1,2022,2022
TQ2490,1,2022,2022
TQ3286,1,2018,2018
TQ1173,1,2023,2023
