gr,recn,yearStart,yearEnd
TQ2991,18,2019,2023
TQ2392,1,2023,2023
TQ2786,3,2016,2019
TQ1587,1,2022,2022
TQ2679,1,2016,2016
TQ1469,6,2017,2022
TQ3682,1,2022,2022
TQ1173,2,2023,2023
TQ3399,3,2022,2023
TQ3281,3,2022,2022
TQ1588,6,2020,2021
TQ2886,3,2014,2017
TQ2791,4,2020,2022
TQ3186,3,2023,2023
TQ2577,1,2016,2016
TQ2797,1,2022,2022
TQ3591,1,2023,2023
TQ3299,5,2023,2023
TQ2680,2,2018,2018
TQ2177,1,2023,2023
TQ2291,1,2023,2023
TQ2091,1,2022,2022
TQ1584,7,2023,2023
TQ2492,2,2023,2023
TQ1488,2,2021,2022
TQ1668,3,2022,2022
TQ2488,2,2022,2022
TQ1593,1,2014,2014
TQ1688,4,2022,2022
TQ3094,2,2023,2023
TQ3398,1,2023,2023
TQ2989,2,2022,2022
TQ2578,2,2016,2016
TQ2590,3,2023,2023
TQ2388,1,2023,2023
TQ3087,1,2023,2023
TQ1769,1,2022,2022
TQ3298,2,2023,2023
TQ3095,1,2022,2022
TQ2990,1,2010,2010
TQ2686,1,2023,2023
TQ3386,1,2013,2013
TQ2077,2,2023,2023
TQ1274,1,2023,2023
TQ1689,1,2022,2022
TQ3289,1,2022,2022
TQ2588,1,2022,2022
TQ3482,1,2022,2022
TQ2594,1,2022,2022
TQ2888,1,2022,2022
TQ2589,2,2022,2023
TQ2988,1,2022,2022
TQ2479,2,2014,2019
TQ2289,1,2023,2023
TQ2790,1,2023,2023
TQ3090,1,2022,2022
TQ2892,1,2022,2022
TQ2694,1,2022,2022
TQ0989,1,2022,2022
TQ2078,1,2022,2022
