gr,recn,yearStart,yearEnd
TQ1470,1,2019,2019
TQ2787,5,2014,2018
TQ2779,1,2007,2007
TQ1683,2,2019,2019
TQ2493,2,2022,2022
TQ2886,5,2014,2018
TQ1174,1,2023,2023
TQ2586,3,2013,2023
TQ1584,6,2023,2023
TQ2991,2,2020,2021
TQ1469,2,2017,2018
TQ2679,10,2008,2017
TQ1594,2,2021,2021
TQ1583,4,2015,2019
TQ3186,1,2023,2023
TQ2177,1,2023,2023
TQ0989,1,2022,2022
TQ2790,4,2022,2023
TQ2797,2,2022,2022
TQ2686,8,2013,2023
TQ1592,1,2013,2013
TQ3094,2,2023,2023
TQ2588,2,2023,2023
TQ2791,1,2022,2022
TQ3489,2,2022,2022
TQ1593,2,2014,2021
TQ3682,1,2015,2015
TQ2888,2,2022,2022
TQ1274,1,2023,2023
TQ2392,1,2023,2023
TQ2691,1,2021,2021
TQ2490,1,2022,2022
TQ3299,2,2022,2023
TQ2786,4,2013,2019
TQ3281,1,2022,2022
TQ2687,1,2023,2023
TQ2590,1,2023,2023
TQ2390,1,2022,2022
TQ2898,1,2022,2022
TQ2990,1,2010,2010
TQ2479,1,2014,2014
TQ3298,1,2023,2023
TQ1587,1,2022,2022
TQ0988,1,2022,2022
TQ2988,1,2022,2022
TQ2785,1,2017,2017
TQ2680,1,2018,2018
TQ1588,1,2021,2021
TQ2078,1,2022,2022
