gr,recn,yearStart,yearEnd
TQ3686,1,2022,2022
TQ2779,1,2007,2007
TQ2679,10,2000,2021
TQ2177,1,2023,2023
TQ2785,3,2017,2018
TQ1584,5,2023,2023
TQ2791,1,2020,2020
TQ2479,1,2019,2019
TQ2991,5,2018,2023
TQ1274,1,2023,2023
TQ1488,2,2021,2022
TQ1469,1,2017,2017
TQ2680,1,2018,2018
TQ3782,1,2022,2022
TQ3682,2,2022,2022
TQ3281,3,2022,2022
TQ2983,1,2014,2014
TQ1587,1,2022,2022
TQ2990,1,2010,2010
TQ1588,4,2020,2021
TQ3482,1,2022,2022
TQ1683,1,2019,2019
TQ2789,1,2015,2015
TQ2686,1,2017,2017
TQ3087,1,2022,2022
