gr,recn,yearStart,yearEnd
TQ1488,3,2021,2022
TQ2991,5,2019,2023
TQ3489,2,2022,2022
TQ3087,1,2023,2023
TQ1584,4,2023,2023
TQ2680,1,2018,2018
TQ3095,1,2022,2022
TQ3186,1,2023,2023
TQ3286,1,2018,2018
TQ2694,1,2022,2022
TQ2291,1,2023,2023
TQ1688,1,2022,2022
TQ3298,1,2023,2023
TQ1593,1,2014,2014
TQ2786,1,2016,2016
TQ3281,1,2022,2022
TQ2594,1,2022,2022
TQ2392,1,2023,2023
TQ2590,2,2023,2023
TQ2488,1,2022,2022
TQ2489,2,2022,2023
TQ1588,2,2021,2021
TQ3094,1,2023,2023
TQ2289,1,2023,2023
TQ2492,1,2023,2023
TQ2785,1,2018,2018
