taxonId,taxon
abraxas_grossulariata,Abraxas grossulariata
abraxas_sylvata,Abraxas sylvata
abrostola,Abrostola
abrostola_tripartita,Abrostola tripartita
abrostola_triplasia,Abrostola triplasia
acasis_viretata,Acasis viretata
acentria_ephemerella,Acentria ephemerella
acherontia_atropos,Acherontia atropos
achlya_flavicornis,Achlya flavicornis
achlya_flavicornis_galbanus,Achlya flavicornis galbanus
achlya_flavicornis_scotica,Achlya flavicornis scotica
achroia_grisella,Achroia grisella
acleris,Acleris
acleris_aspersana,Acleris aspersana
acleris_bergmanniana,Acleris bergmanniana
acleris_caledoniana,Acleris caledoniana
acleris_comariana,Acleris comariana
acleris_cristana,Acleris cristana
acleris_effractana,Acleris effractana
acleris_emargana,Acleris emargana
acleris_ferrugana,Acleris ferrugana
acleris_ferrugana_notana,Acleris ferrugana/notana
acleris_forsskaleana,Acleris forsskaleana
acleris_hastiana,Acleris hastiana
acleris_holmiana,Acleris holmiana
acleris_hyemana,Acleris hyemana
acleris_kochiella,Acleris kochiella
acleris_laterana,Acleris laterana
acleris_laterana_comariana,Acleris laterana/comariana
acleris_lipsiana,Acleris lipsiana
acleris_literana,Acleris literana
acleris_notana,Acleris notana
acleris_rhombana,Acleris rhombana
acleris_rufana,Acleris rufana
acleris_schalleriana,Acleris schalleriana
acleris_shepherdana,Acleris shepherdana
acleris_sparsana,Acleris sparsana
acleris_variegana,Acleris variegana
acompsia_cinerella,Acompsia cinerella
acrobasis,Acrobasis
acrobasis_advenella,Acrobasis advenella
acrobasis_consociella,Acrobasis consociella
acrobasis_marmorea,Acrobasis marmorea
acrobasis_repandana,Acrobasis repandana
acrobasis_suavella,Acrobasis suavella
acrolepia_autumnitella,Acrolepia autumnitella
acronicta,Acronicta
acronicta_alni,Acronicta alni
acronicta_leporina,Acronicta leporina
acronicta_menyanthidis,Acronicta menyanthidis
acronicta_menyanthidis_menyanthidis,Acronicta menyanthidis menyanthidis
acronicta_psi,Acronicta psi
acronicta_psi_tridens,Acronicta psi/tridens
acronicta_rumicis,Acronicta rumicis
acronicta_tridens,Acronicta tridens
acronictinae,Acronictinae
actebia_praecox,Actebia praecox
adaina_microdactyla,Adaina microdactyla
adela_croesella,Adela croesella
adela_cuprella,Adela cuprella
adela_reaumurella,Adela reaumurella
adscita_geryon,Adscita geryon
adscita_statices,Adscita statices
adscita_statices_statices,Adscita statices statices
aethalura_punctulata,Aethalura punctulata
aethes_cnicana,Aethes cnicana
aethes_francillana,Aethes francillana
aethes_piercei,Aethes piercei
aethes_rubigana,Aethes rubigana
aethes_smeathmanniana,Aethes smeathmanniana
agapeta,Agapeta
agapeta_hamana,Agapeta hamana
agapeta_zoegana,Agapeta zoegana
aglossa_pinguinalis,Aglossa pinguinalis
agnoea_josephinae,Agnoea josephinae
agonopterix,Agonopterix
agonopterix_alstromeriana,Agonopterix alstromeriana
agonopterix_angelicella,Agonopterix angelicella
agonopterix_arenella,Agonopterix arenella
agonopterix_assimilella,Agonopterix assimilella
agonopterix_atomella,Agonopterix atomella
agonopterix_carduella,Agonopterix carduella
agonopterix_ciliella,Agonopterix ciliella
agonopterix_conterminella,Agonopterix conterminella
agonopterix_heracliana,Agonopterix heracliana
agonopterix_kaekeritziana,Agonopterix kaekeritziana
agonopterix_liturosa,Agonopterix liturosa
agonopterix_nanatella,Agonopterix nanatella
agonopterix_nervosa,Agonopterix nervosa
agonopterix_ocellana,Agonopterix ocellana
agonopterix_propinquella,Agonopterix propinquella
agonopterix_purpurea,Agonopterix purpurea
agonopterix_subpropinquella,Agonopterix subpropinquella
agonopterix_umbellana,Agonopterix umbellana
agonopterix_yeatiana,Agonopterix yeatiana
agriopis_aurantiaria,Agriopis aurantiaria
agriopis_leucophaearia,Agriopis leucophaearia
agriopis_marginaria,Agriopis marginaria
agriopis_marginaria_ab__fuscata,Agriopis marginaria ab. fuscata
agriphila,Agriphila
agriphila_geniculea,Agriphila geniculea
agriphila_inquinatella,Agriphila inquinatella
agriphila_latistria,Agriphila latistria
agriphila_selasella,Agriphila selasella
agriphila_straminella,Agriphila straminella
agriphila_tristella,Agriphila tristella
agrius_convolvuli,Agrius convolvuli
agrochola_lychnidis,Agrochola lychnidis
agrotis_cinerea,Agrotis cinerea
agrotis_clavis,Agrotis clavis
agrotis_exclamationis,Agrotis exclamationis
agrotis_ipsilon,Agrotis ipsilon
agrotis_puta,Agrotis puta
agrotis_puta_puta,Agrotis puta puta
agrotis_ripae,Agrotis ripae
agrotis_segetum,Agrotis segetum
agrotis_trux,Agrotis trux
agrotis_trux_lunigera,Agrotis trux lunigera
agrotis_vestigialis,Agrotis vestigialis
alcis_jubata,Alcis jubata
alcis_repandata,Alcis repandata
alcis_repandata_muraria,Alcis repandata muraria
alcis_repandata_repandata,Alcis repandata repandata
aleimma_loeflingiana,Aleimma loeflingiana
allophyes_oxyacanthae,Allophyes oxyacanthae
alsophila_aescularia,Alsophila aescularia
altenia_scriptella,Altenia scriptella
alucita_hexadactyla,Alucita hexadactyla
alucitidae,Alucitidae
amblyptilia_acanthadactyla,Amblyptilia acanthadactyla
amblyptilia_punctidactyla,Amblyptilia punctidactyla
amphipoea,Amphipoea
amphipoea_crinanensis,Amphipoea crinanensis
amphipoea_fucosa,Amphipoea fucosa
amphipoea_lucens,Amphipoea lucens
amphipoea_oculea,Amphipoea oculea
amphipoea_oculea_agg_,Amphipoea oculea agg.
amphipyra,Amphipyra
amphipyra_berbera,Amphipyra berbera
amphipyra_berbera_berbera,Amphipyra berbera berbera
amphipyra_berbera_svenssoni,Amphipyra berbera svenssoni
amphipyra_pyramidea,Amphipyra pyramidea
amphipyra_pyramidea_agg_,Amphipyra pyramidea agg.
