gr,recn,yearStart,yearEnd
TQ29W,4,2022,2022
TQ38R,3,2022,2022
TQ38I,1,2016,2016
TQ18R,1,2019,2019
TQ29V,41,2010,2023
TQ28N,2,2014,2014
TQ18P,13,2020,2022
TQ28Y,3,2014,2018
TQ28Z,1,2022,2022
TQ18U,5,2022,2022
TQ39J,2,2022,2023
TQ28T,4,2019,2023
TQ27U,8,2007,2017
TQ28V,1,2021,2021
TQ38D,2,2022,2023
TQ17K,1,2018,2018
TQ16P,2,2018,2022
TQ27N,1,2016,2016
TQ29H,1,2022,2022
TQ18L,2,2016,2016
TQ16U,2,2022,2022
TQ29A,1,2022,2022
TQ28U,1,2022,2022
TQ19L,3,2014,2021
TQ27D,2,2023,2023
TQ38F,1,2022,2022
TQ28X,1,2023,2023
TQ29L,2,2022,2023
TQ39L,2,2012,2012
TQ29F,1,2022,2022
TQ17Q,1,2018,2018
TQ29K,1,2023,2023
TQ27P,1,2019,2019
TQ28Q,2,2018,2019
TQ27Z,2,2021,2021
TQ29Q,2,2021,2022
TQ28S,1,2017,2017
TQ18M,1,2023,2023
TQ29S,1,2022,2022
