gr,recn,yearStart,yearEnd
TQ16P,4,2018,2022
TQ18P,7,2020,2022
TQ28Q,2,2018,2018
TQ27U,12,2003,2017
TQ39J,5,2023,2023
TQ27D,5,2023,2023
TQ29V,35,2010,2023
TQ27Z,2,2021,2021
TQ18M,6,2023,2023
TQ39D,1,2022,2022
TQ28T,10,2013,2019
TQ19L,4,2013,2021
TQ29L,2,2022,2023
TQ38I,1,2022,2022
TQ16U,4,2022,2022
TQ39C,1,2023,2023
TQ28Z,2,2022,2022
TQ29K,4,2022,2023
TQ28N,1,2018,2018
TQ28S,2,2014,2017
TQ17K,1,2018,2018
TQ18U,1,2022,2022
TQ28V,2,2021,2021
TQ28Y,2,2017,2018
TQ28J,1,2023,2023
TQ18R,1,2019,2019
TQ38R,1,2022,2022
