gr,recn,yearStart,yearEnd
TQ29V,32,2010,2023
TQ27Z,2,2021,2021
TQ27U,11,2007,2021
TQ28V,3,2021,2021
TQ18U,4,2022,2022
TQ17B,2,2017,2023
TQ38I,1,2016,2016
TQ28Y,3,2017,2018
TQ28P,1,2022,2022
TQ28S,4,2017,2018
TQ28T,6,2013,2018
TQ16P,3,2018,2022
TQ39L,2,2012,2022
TQ16U,1,2022,2022
TQ28N,1,2014,2014
TQ18M,5,2023,2023
TQ18P,5,2021,2022
TQ29Y,1,2022,2022
TQ29G,1,2023,2023
TQ38F,1,2022,2022
TQ28U,1,2015,2015
TQ38D,1,2022,2022
TQ28Z,1,2022,2022
TQ28Q,1,2018,2018
TQ39J,1,2023,2023
