gr,recn,yearStart,yearEnd
TQ29V,19,2010,2023
TQ29G,1,2023,2023
TQ28T,4,2016,2023
TQ18N,1,2022,2022
TQ27U,1,2016,2016
TQ16P,6,2017,2022
TQ38R,1,2022,2022
TQ17B,2,2023,2023
TQ39J,11,2022,2023
TQ38F,3,2022,2022
TQ18P,8,2020,2022
TQ28Y,3,2014,2017
TQ29Q,5,2020,2023
TQ38D,4,2023,2023
TQ27N,1,2016,2016
TQ29T,1,2022,2022
TQ39K,1,2023,2023
TQ28Q,2,2018,2018
TQ27D,3,2023,2023
TQ29F,1,2023,2023
TQ29A,1,2022,2022
TQ18M,7,2023,2023
TQ29L,2,2023,2023
TQ16U,4,2022,2022
TQ28P,5,2022,2023
TQ19L,1,2014,2014
TQ18U,5,2022,2022
TQ39C,3,2022,2023
TQ28Z,4,2022,2022
TQ27P,4,2014,2019
TQ29K,3,2023,2023
TQ28J,2,2023,2023
TQ38I,1,2013,2013
TQ17H,1,2023,2023
TQ38J,1,2022,2022
TQ38L,1,2022,2022
TQ29M,1,2022,2022
TQ39A,1,2022,2022
TQ29W,1,2022,2022
TQ29S,1,2022,2022
TQ08Z,1,2022,2022
TQ27E,1,2022,2022
