gr,recn,yearStart,yearEnd
TQ17K,1,2019,2019
TQ28T,18,2013,2023
TQ27U,11,2007,2017
TQ18R,2,2019,2019
TQ29L,2,2022,2022
TQ28Y,5,2014,2018
TQ17C,1,2023,2023
TQ28N,3,2013,2023
TQ18M,6,2023,2023
TQ29V,3,2010,2021
TQ16P,2,2017,2018
TQ19M,2,2021,2021
TQ18L,4,2015,2019
TQ38D,1,2023,2023
TQ27D,1,2023,2023
TQ08Z,2,2022,2022
TQ29Q,6,2021,2023
TQ29T,2,2022,2022
TQ19L,3,2013,2021
TQ39C,2,2023,2023
TQ28P,2,2023,2023
TQ38P,2,2022,2022
TQ38R,1,2015,2015
TQ28Z,3,2022,2022
TQ17H,1,2023,2023
TQ29G,1,2023,2023
TQ29K,2,2022,2023
TQ39J,3,2022,2023
TQ38F,1,2022,2022
TQ29F,1,2022,2022
TQ29Z,1,2022,2022
TQ27P,1,2014,2014
TQ18N,1,2022,2022
TQ28S,1,2017,2017
TQ28Q,1,2018,2018
TQ18P,1,2021,2021
TQ27E,1,2022,2022
